payment_id,user_id,subscription_id,payment_date,amount_usd,currency,payment_status,payment_provider,failure_reason
1,3,3,2025-10-12,12.78,KZT,success,card,
2,3,3,2025-11-11,12.67,KZT,failed,card,expired_card
3,3,3,2025-12-11,13.36,KZT,success,google_pay,
4,4,4,2025-06-06,13.05,RUB,success,bank_transfer,
5,4,4,2025-07-06,12.71,RUB,failed,apple_pay,insufficient_funds
6,4,4,2025-07-08,12.71,RUB,success,apple_pay,
7,4,4,2025-08-05,13.06,RUB,success,google_pay,
8,4,4,2025-09-04,13.39,RUB,success,crypto,
9,4,4,2025-10-04,13.24,RUB,success,card,
10,4,4,2025-11-03,13.08,RUB,success,card,
11,4,4,2025-12-03,12.98,RUB,success,card,
12,7,6,2025-03-06,120.94,EUR,success,google_pay,
13,10,8,2025-08-18,32.95,RUB,success,card,
14,12,10,2025-10-25,120.47,RUB,failed,google_pay,authentication_failed
15,13,11,2025-04-27,122.09,RUB,success,crypto,
16,16,14,2025-12-18,117.24,KZT,success,card,
17,17,15,2025-07-04,31.98,RUB,success,card,
18,17,15,2025-10-02,33.27,RUB,success,card,
19,17,15,2025-12-31,32.37,RUB,success,bank_transfer,
20,23,18,2025-11-17,13.18,RUB,success,crypto,
21,23,18,2025-12-17,13.38,RUB,success,card,
22,24,19,2025-06-24,13.45,TRY,success,apple_pay,
23,24,19,2025-07-24,13.46,TRY,success,card,
24,24,19,2025-08-23,12.6,TRY,success,bank_transfer,
25,24,19,2025-09-22,12.81,TRY,success,bank_transfer,
26,24,19,2025-10-22,13.16,TRY,success,card,
27,24,19,2025-11-21,13.06,TRY,success,card,
28,24,19,2025-12-21,12.69,TRY,success,card,
29,25,20,2025-11-30,12.79,TRY,success,card,
30,25,20,2025-12-30,13.49,TRY,success,card,
31,29,22,2025-12-26,12.61,KZT,success,crypto,
32,39,27,2025-05-06,12.85,EUR,success,card,
33,39,27,2025-06-05,12.65,EUR,success,card,
34,39,27,2025-07-05,13.43,EUR,success,bank_transfer,
35,39,27,2025-08-04,13.09,EUR,success,apple_pay,
36,39,27,2025-09-03,12.76,EUR,success,google_pay,
37,39,27,2025-10-03,13.16,EUR,success,bank_transfer,
38,39,27,2025-11-02,12.98,EUR,success,card,
39,39,27,2025-12-02,13.09,EUR,success,card,
40,40,28,2025-09-15,12.91,KZT,success,crypto,
41,40,28,2025-10-15,12.75,KZT,success,apple_pay,
42,40,28,2025-11-14,12.59,KZT,success,card,
43,41,29,2025-12-02,31.81,AMD,success,card,
