subscription_id,user_id,plan_name,status,started_at,canceled_at,cancellation_reason,trial_started_at,trial_ended_at
1,1,monthly,trial,2025-12-19,,,2025-12-19,2026-01-02
2,2,quarterly,expired,2025-12-15,,,2025-12-15,2025-12-29
3,3,monthly,active,2025-10-12,,,2025-09-28,2025-10-12
4,4,monthly,active,2025-06-06,,,2025-05-23,2025-06-06
5,5,quarterly,expired,2025-03-13,,,2025-03-13,2025-03-27
6,7,yearly,active,2025-03-06,,,2025-02-20,2025-03-06
7,9,monthly,expired,2025-05-07,,,2025-05-07,2025-05-21
8,10,quarterly,active,2025-08-18,2025-09-26,switched_product,2025-08-04,2025-08-18
9,11,yearly,expired,2025-12-02,,,2025-12-02,2025-12-16
10,12,yearly,active,2025-10-25,,,2025-10-11,2025-10-25
11,13,yearly,active,2025-04-27,,,2025-04-13,2025-04-27
12,14,yearly,trial,2025-12-30,,,2025-12-30,2026-01-13
13,15,monthly,expired,2025-08-11,,,2025-08-11,2025-08-25
14,16,yearly,active,2025-12-18,,,2025-12-04,2025-12-18
15,17,quarterly,active,2025-07-04,,,2025-06-20,2025-07-04
16,21,quarterly,expired,2025-10-22,,,2025-10-22,2025-11-05
17,22,monthly,expired,2025-07-13,,,2025-07-13,2025-07-27
18,23,monthly,canceled,2025-11-17,2025-12-26,not_using_enough,2025-11-03,2025-11-17
19,24,monthly,active,2025-06-24,,,2025-06-10,2025-06-24
20,25,monthly,active,2025-11-30,,,2025-11-16,2025-11-30
21,28,quarterly,expired,2025-08-29,,,2025-08-29,2025-09-12
22,29,monthly,active,2025-12-26,,,2025-12-12,2025-12-26
23,30,yearly,trial,2025-12-26,,,2025-12-26,2026-01-09
24,31,yearly,expired,2025-04-28,,,2025-04-28,2025-05-12
25,35,yearly,expired,2025-07-14,,,2025-07-14,2025-07-28
26,38,monthly,trial,2026-01-05,,,2026-01-05,2026-01-19
27,39,monthly,active,2025-05-06,,,2025-04-22,2025-05-06
28,40,monthly,canceled,2025-09-15,2025-12-06,not_using_enough,2025-09-01,2025-09-15
29,41,quarterly,active,2025-12-02,,,2025-11-18,2025-12-02
30,42,quarterly,active,2025-08-28,,,2025-08-14,2025-08-28
31,43,monthly,expired,2025-11-08,,,2025-11-08,2025-11-22
32,44,quarterly,active,2025-10-21,,,2025-10-07,2025-10-21
33,45,quarterly,active,2025-04-15,,,2025-04-01,2025-04-15
34,46,monthly,active,2025-12-11,,,2025-11-27,2025-12-11
