user_id,signup_date,country,acquisition_channel_id,device_type,language,age_group
1,2025-12-16,Georgia,3,ios,ru,35-44
2,2025-12-15,Armenia,1,ios,ru,25-34
3,2025-09-28,Kazakhstan,8,ios,ru,18-24
4,2025-05-18,Russia,2,ios,en,35-44
5,2025-03-13,UAE,5,android,ar,25-34
6,2025-07-08,Kazakhstan,5,ios,ru,25-34
7,2025-02-18,Germany,4,ios,en,45-54
8,2025-05-05,Georgia,7,web,en,25-34
9,2025-05-02,Russia,5,ios,en,25-34
10,2025-08-03,Russia,7,android,ru,18-24
11,2025-11-27,Kazakhstan,4,android,ru,35-44
12,2025-10-09,Russia,3,web,ru,25-34
13,2025-04-10,Russia,4,web,en,18-24
14,2025-12-26,Armenia,6,ios,ru,25-34
15,2025-08-11,Georgia,7,android,ka,25-34
16,2025-12-04,Kazakhstan,5,ios,ru,18-24
17,2025-06-15,Russia,4,android,ru,55+
18,2025-12-10,Russia,3,ios,en,35-44
19,2025-10-05,Russia,1,ios,en,45-54
20,2025-12-10,Kazakhstan,1,ios,en,35-44
21,2025-10-21,Kazakhstan,1,android,en,25-34
22,2025-07-11,Kazakhstan,8,android,ru,35-44
23,2025-10-29,Russia,2,web,ru,45-54
24,2025-06-10,Turkey,3,android,tr,55+
25,2025-11-10,Turkey,4,android,en,35-44
26,2025-07-11,Kazakhstan,5,android,ru,35-44
27,2025-09-23,Germany,5,android,en,45-54
28,2025-08-24,Poland,5,web,en,35-44
29,2025-12-11,Kazakhstan,2,android,kk,25-34
30,2025-12-21,Russia,5,android,ru,25-34
31,2025-04-22,Russia,8,ios,ru,45-54
32,2025-11-12,Kazakhstan,4,android,kk,35-44
33,2025-12-09,Armenia,7,android,ru,18-24
34,2025-09-28,Kazakhstan,3,android,ru,45-54
35,2025-07-09,Germany,4,android,de,55+
36,2025-09-04,Georgia,2,ios,ru,25-34
37,2025-08-11,Turkey,6,ios,en,55+
38,2025-12-30,Poland,3,web,pl,35-44
39,2025-04-16,Germany,6,android,de,25-34
40,2025-09-01,Kazakhstan,4,android,ru,25-34
41,2025-11-16,Armenia,6,web,hy,25-34
42,2025-08-14,Germany,5,android,de,25-34
43,2025-11-03,Russia,4,web,en,25-34
44,2025-10-05,Turkey,2,ios,tr,18-24
45,2025-03-30,Poland,4,android,en,45-54
46,2025-11-25,Germany,5,ios,en,45-54
47,2025-06-16,Russia,1,ios,ru,25-34
48,2025-10-01,Turkey,2,web,tr,35-44
49,2025-09-28,Armenia,3,android,hy,25-34
50,2025-11-15,Russia,4,web,ru,55+
51,2025-06-16,Germany,7,android,de,25-34
52,2025-08-30,UAE,4,ios,ar,45-54
53,2025-12-03,Germany,7,android,de,25-34
54,2025-12-12,Poland,7,ios,pl,25-34
55,2025-02-22,Germany,5,ios,en,35-44
56,2025-12-06,Georgia,6,ios,en,18-24
57,2025-08-06,Russia,7,android,ru,18-24
58,2025-09-21,Georgia,4,ios,en,25-34
59,2025-03-23,Georgia,7,android,ka,25-34
60,2025-11-29,Russia,1,web,ru,25-34
61,2025-07-27,Turkey,6,web,en,45-54
62,2025-07-20,UAE,2,android,en,25-34
63,2025-12-26,Germany,1,web,de,25-34
64,2025-02-07,Russia,1,ios,ru,25-34
65,2025-07-30,Russia,4,android,en,18-24
66,2025-11-23,Germany,4,web,de,45-54
67,2025-09-17,Russia,1,ios,en,25-34
68,2025-11-06,Georgia,3,ios,en,25-34
69,2025-07-10,UAE,1,ios,ar,45-54
70,2025-08-06,Poland,1,android,pl,25-34
71,2025-10-22,Georgia,1,ios,ru,35-44
72,2025-07-15,Georgia,2,ios,en,35-44
73,2025-07-21,Russia,6,android,ru,18-24
74,2025-12-11,Poland,2,web,pl,35-44
75,2025-12-17,Armenia,2,android,hy,55+
76,2025-11-14,Turkey,5,web,en,55+
77,2025-12-31,Russia,4,android,en,35-44
78,2025-12-03,Russia,5,web,ru,35-44
79,2025-09-09,Georgia,5,ios,ru,55+
80,2025-07-09,Turkey,6,android,tr,18-24
81,2025-10-23,Georgia,5,web,en,35-44
82,2025-12-12,Kazakhstan,2,web,ru,25-34
83,2025-09-27,Turkey,7,android,en,18-24
84,2025-08-25,Russia,4,android,ru,25-34
85,2025-12-04,Germany,7,ios,en,25-34
86,2025-05-12,Russia,1,ios,ru,25-34
87,2025-10-07,Germany,1,ios,en,35-44
88,2025-08-05,Kazakhstan,4,android,ru,55+
89,2025-10-08,UAE,1,ios,en,35-44
90,2025-11-29,Germany,4,ios,de,25-34
91,2025-06-09,Poland,6,web,pl,55+
92,2025-07-06,Turkey,7,android,tr,18-24
93,2025-07-10,Germany,5,web,de,35-44
94,2025-10-28,Georgia,2,android,en,25-34
95,2025-08-08,UAE,4,android,ar,25-34
96,2025-12-11,Georgia,1,ios,ru,55+
97,2025-11-23,Russia,1,android,en,45-54
98,2025-05-11,Germany,4,ios,de,18-24
99,2025-12-10,Germany,6,android,de,55+
100,2025-09-03,Georgia,2,ios,en,35-44
101,2025-08-14,Georgia,2,web,en,35-44
102,2025-07-27,Turkey,7,ios,en,18-24
103,2025-05-19,Turkey,1,web,tr,35-44
